,slow,medium,fast
"Alanine, aspartate and glutamate metabolism",0.1091437657100287,0.29422787470083145,0.2447132506646452
Arginine biosynthesis,0.5071064999499738,0.2712380334534102,0.12770451131751234
Biosynthesis of unsaturated fatty acids,0.1962956387472785,0.25693849889801423,0.13687933418722562
Citrate cycle (TCA cycle),0.5626798687534044,0.17943212000929154,0.4755599549134681
Cysteine and methionine metabolism,0.369485581410119,0.1024756148139111,0.2319520520511969
Glycerolipid metabolism,0.29905543659927625,0.5028317450464339,0.2533245909138434
Glycerophospholipid metabolism,0.47305851760000867,0.49236713808840693,0.5330307352874415
"Glycine, serine and threonine metabolism",0.41534280837891085,0.37561628702353556,0.2532020679781857
Glycolysis / gluconeogenesis,0.5018752927902617,0.5442495124448546,0.554582033796088
Inositol phosphate metabolism,0.11525498517487576,0.24114543633164873,0.09807884911730907
Lysine metabolism,0.6035774831512369,0.4731657312761646,0.6011696285723822
One carbon pool by folate,0.5879077893755805,0.5541396670126408,0.529834406792391
Oxidative phosphorylation,0.36345002591305897,0.498841438536776,0.5540060302077869
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.4986507085628489,0.20663901771079782,0.22650067653665307
Purine metabolism,0.3777287888324096,0.23514010098544405,0.5545140534019227
Pyrimidine metabolism,0.48008481226434807,0.43991797304655567,0.23797699044127973
Pyruvate metabolism,0.5815099879952594,0.3649927639714268,0.48909214003936724
Starch and sucrose metabolism,0.1252713257053167,0.0,0.3842651011852098
Steroid biosynthesis,0.11225046199524405,0.20297062207517003,0.09550044779797992
Terpenoid backbone biosynthesis,0.2722436353502923,0.2725666651802019,0.3546355486388531
"Valine, leucine and isoleucine metabolism",0.4265017348075025,0.3075672861524779,0.17846429347959394
tRNA metabolism,0.16726120696669836,0.05744850985807353,0.3976914611335828
